Category,Item,Specification,Unit,Quantity,Basis/Notes,,,
Materials,OS2 Single‑Mode Outdoor Cable,ITU‑T G.652.D (bend‑improved G.657.A1/A2 preferred), armored where route requires; factory supplied on OEM wooden drums; LC/UPC at rack, M,1200,"Provisional total for two star legs (CTP5→Rack, CTP6→Rack); final per-route centerline + slack to confirm",,
Materials,IP68 Fiber Closures,IP68 rated; capacity ≥24F; splice trays included; gel/gasket seal; strand management,Each,3,"One per crane location: STS04 @ CTP5, STS05 @ CTP6, STS06 @ CTP6",,,
Materials,Splice Trays (12F),12‑fiber trays compatible with closures; with splice holders,Each,12,4 trays per closure × 3 closures (assumes 12F per leg),,,
Materials,Splice Protectors,Heat‑shrink splice sleeves 40/45 mm,Each,60,Allow 2× per fiber including spares (24F × 2 + spares),,,
Materials,Wall/Rack FO Patch Panel #1,"1U 19"" rack; 24‑port LC panel (empty); cable entry glands",Each,1,FO Panel #1 – STS05 (Cargo Building rack),,,
Materials,Wall/Rack FO Patch Panel #2,"1U 19"" rack; 24‑port LC panel (empty); cable entry glands",Each,1,FO Panel #2 – STS06 (Cargo Building rack),,,
Materials,LC/UPC Duplex Adapters,Blue LC duplex bulkhead adapters,Each,24,24 ports (12 duplex) across 2 panels; adjust if fiber count changes,,,
Materials,LC/UPC Pigtails (12‑pack),900 µm SM OS2, 12‑color set,Pack,2,One 12‑pigtail set per panel; fusion spliced to backbone,,
Materials,LC/UPC Patch Cords,OS2 duplex 2 m (rack),Each,24,Panel → switch/test patching; length to suit rack layout,,,
Materials,Splice Cassette/Management,Patch panel splice tray cassettes where required,Each,4,For neat pigtail splicing in panels,,,
Materials,FO Cable Glands/Seals,IP‑rated glands/PGs sized to cable OD; rack and closure entries,Each,10,Allowances; exact thread/size per vendor datasheet,,,
Materials,Labels & Plates,TIA‑606 compliant engraved/printed labels,Set,2,"Panels, closures, trays, fibers, and route markers",,,
Materials,Cable Route Markers,UV‑stable route tags/plates,Each,20,At pit entries and every ~20 m where exposed,,,
Materials,Desiccant/Seal Kits,Closure desiccant & re‑seal kits,Set,3,1 per closure + spares,,,
Materials,Cleaning & Prep Kit,One‑click cleaners, lint‑free wipes, IPA, dust caps,Set,2,FO cleaning discipline per IEC/TIA
Materials,Pulling Socks/Tapes,Fiber‑rated pulling grips and detectable pull tape,Set,4,Per route and spares; tension limited per OEM,,,
Materials,Slack Management,Splice sleeve holders, slack reels, Velcro ties,Set,3,Per closure,
,,,,,,,,
Tools/Equipment,OTDR,1310/1550 nm with event/IL analysis; SM launch/receive fibers included,Each,1,Acceptance testing of both legs,,,
Tools/Equipment,Optical Power Meter & Light Source,SM 1310/1550 kit with reference leads,Set,1,Insertion loss testing,,,
Tools/Equipment,Fiber Inspection Scope,Handheld microscope/inspection camera,Each,1,Endface inspection and cleanliness verification,,,
Tools/Equipment,Visual Fault Locator (VFL),650 nm pen or launcher,Each,1,Continuity and macrobend checks,,,
Tools/Equipment,Fusion Splicer,Core‑alignment splicer with cleaver,Each,1,Splicing of pigtails and closure joints,,,
Tools/Equipment,Fiber Cleaver,High‑precision cleaver compatible with splicer,Each,1,Prepare fibers for splice,,,
Tools/Equipment,Closure Tooling Kit,Torque driver set, seal press tools, heat gun as required,Set,1,Closure assembly per OEM,
Tools/Equipment,Fiber Drum Stand with Brake,Rated for FO OEM wooden drums,Each,2,For controlled pay‑out; FO only (not MV steel reels),,,
Tools/Equipment,Cable Rollers/Corner Guides,Light‑duty FO rollers/guides,Set,2,Route control and bend radius protection,,,
Tools/Equipment,Patch Panel Tooling,Crimpers (if required), torque tools, dust caps set,Set,1,Panel termination and dressing,
