Category,Item,Specification,Unit,Quantity,Basis/Notes
Materials,CTP6 MV Junction Box A (STS05),SS316/SS304, C5M, IP67/IK10, filtered breather, Cu earth bar with test link; Enclosure HxWxD 1000x800x400 mm; Gland plate sized for MV cable OD (see glands),Each,1,Per scope: new JB at CTP6 for STS05 (2 MV entries: feeder IN + drum OUT)
Materials,CTP6 MV Junction Box B (STS06),SS316/SS304, C5M, IP67/IK10, filtered breather, Cu earth bar with test link; Enclosure HxWxD 1000x800x400 mm; Gland plate sized for MV cable OD (see glands),Each,1,Per scope: new JB at CTP6 for STS06 (2 MV entries: feeder IN + drum OUT)
Materials,CTP5 MV Junction Box (STS04),SS316/SS304, C5M, IP67/IK10, filtered breather, Cu earth bar with test link; Enclosure HxWxD 1000x800x400 mm; Gland plate sized for MV cable OD (see glands),Each,1,STS04 migration path (2 MV entries: feeder IN + drum OUT)
Materials,Cable Drum Assemblies,Drum + tail assembly per crane (marine-rated hardware). Geometry sized to cable OD: barrel ≥ 18×OD; flange ≥ barrel + 6×OD; width per ordered length; GA: ga_drum_mv.html,Each,3,One per STS04/05/06 (1 MV cable per drum)
Materials,MV XLPE Cable (11 kV class),IEC 60502-2; 3 × 1C 300 mm² Aluminum; armored/sheath per route; OD per core per datasheet,M,1200,Alternate Option: Al 3 × 1C 300 mm²; split per feeder; single-core formation (trefoil/flat) per design
Materials,MV Termination Kits (Indoor/Outdoor),IEC 60502-2 heat-shrink preferred (cold-shrink acceptable); single-core kits incl. boots; 12/20 kV,Set,36,Switchboard side (indoor) and JB side (outdoor as required); 3 cores per termination point
Materials,Double-Compression Cable Glands,Single-core glands; IP67; thread to suit per-core OD (likely M75–M90); non-magnetic,Each,54,3 per termination point × previous count; confirm exact thread with cable datasheet
Materials,Armor/Braid Bonding Kits,Compatible with gland for armor continuity (single-core),Each,18,Scaled for 3 cores per point; if applicable by cable type
Materials,Cable Lugs,Al or bimetal lugs; 300 mm²; crimp/shear-bolt per dielist,Each,108,Scaled for 3 cores per point; sized to 300 mm² Al
Materials,Cable Cleats (trefoil/flat),Non-magnetic stainless/composite cleats rated for 11 kV single-core,Each,120,Trefoil or flat formation per route; spacing per manufacturer and fault level
Materials,Sheath Bonding Components,Single-point/cross-bonding kits incl. link boxes if required,Set,6,Policy to be confirmed with TiN; provision for bonding management
Materials,Cu Earth Conductor,25–35 mm² tinned copper to grid,M,60,For bonding each JB to earth grid with spare
Materials,Cu Earth Bar with Test Link,Pre-drilled with labeled test link,Each,3,One per JB (included in JB but spare allowed)
Materials,Filtered Breathers,IP-rated low differential pressure,Each,6,2 per JB (in/out airflow)
Materials,Neoprene Gaskets/Seals,Door and gland plate gaskets,Set,3,Per JB replacement/spares
Materials,Blanking Plugs,IP-rated for unused entries,Each,24,Allowances per JB
Materials,Fasteners & Fixings,A4-80 SS bolts, washers, isolating washers kit,Set,6,Mounting + spares
Materials,Mounting Backplates/Frames,SS316 backplate or frame for JB mounting,Each,3,Per JB
Materials,Cable Support Saddles,For strain relief within 150 mm of entry,Each,12,Per entry points
Materials,Cable Route Markers,UV-stable route tags/plates,Each,30,Every pit entry and 20 m intervals where exposed
Materials,Labels & Plates,UV-stable engraved phenolic labels (JB IDs, feeder IDs),Set,3,Per JB plus spares
Materials,Phase ID Sleeves,Heat-shrink phase markers (L1/L2/L3/PE),Set,6,Per termination set
