Item,Model,Supplier,URL,Reference Price (USD),Notes,Date
Hydraulic Crimper + Die Set,Cembre HT131-C,Cembre,https://products.cembre.com/en/row/product/ht131-c,1800,Budgetary estimate; verify dealer quote,2025-08-31
Heat Gun/Heat Blower,Steinel HL 2020 E,Steinel,https://www.steinel.net/en/heat-tools/products/heat-guns/professional-heat-guns/hl-2020-e-110025597.html,80,Street pricing varies; Amazon/RS similar,2025-08-31
Torque Wrench Set,Norbar 40–200 Nm,ProTorqueTools,https://www.protorquetools.com/norbar-1-2-dr-30-150-ft-lbs-40-200-nm-micrometer-adj-torque-wrench-dual-scale/,280,Representative Norbar pricing; set coverage 5–200 Nm via multiple wrenches,2025-08-31
Capstan Winch,Portable Winch PCW5000,Portable Winch Co.,https://www.portablewinch.com/products/pcw5000-a-gas-powered-winch-with-accessories,3500,Base unit w/ accessories bundles vary,2025-08-31
Inline Dynamometer,Dillon EDjunior,Dillon,https://www.dillon-force.com/products/dynamometers/ed-junior,900,Capacity-dependent; typical for 5 kN class,2025-08-31
Spindle Stands/Drum Jacks,Greenlee Reel Jack Stands,Greenlee,https://www.greenlee.com/us/en/reel-jack-stands,700,Pricing varies by model (e.g., 683/690); confirm capacity,2025-08-31
Cable Rollers & Corner Blocks,Condux Corner/Quadrant Blocks,Condux,https://products.condux.com/product.php?id=20,650,Set composition affects price; verify required pieces,2025-08-31
OTDR (for FO interface),EXFO MaxTester 720C,EXFO,https://www.exfo.com/en/products/discontinued-products/maxtester-720c/,7500,Discontinued; available via distributors/demo; consider 730C if lead time,2025-08-31
Megger (IR Tester),Megger MIT525,Megger,https://www.megger.com/en/products/5-kv-10-kv-and-15-kv-insulation-resistance-testers,1200,Kit options change price; confirm accessories,2025-08-31
VLF Test Set,HVD HVA28 Series,HV Diagnostics,https://www.hvdiagnostics.com/vlf-dc,18000,Budgetary; Tan Delta options add cost,2025-08-31
Earth Tester,Megger DET4TC2,Megger,https://www.megger.com/en/products/det4-series-four-terminal-earth/ground-resistance-testers,650,Kit (ICLAMP) adds cost,2025-08-31
Secondary Injection Test Set,Kingsine K68i,Kingsine,https://www.kingsine.com/products/kingsine-k68i-protection-relay-test-set/,8000,Configurations vary; verify IEC61850 options,2025-08-31
Thermal Camera,FLIR E54,Teledyne FLIR,https://www.flir.com/products/e54/?vertical=condition+monitoring&segment=solutions,2500,Lens options affect pricing,2025-08-31
Confined Space Gas Detector,Honeywell BW MicroClip XL,Honeywell,https://sps.honeywell.com/us/en/products/safety/gas-and-flame-detection/portables/honeywell-bw-microclip-series,650,Sensor packs/calibration add cost,2025-08-31
LOTO Kit,Brady LOTO Kits,Brady,https://www.bradyid.com/lockout-tagout/kits,150,Kit size/content dependent,2025-08-31
Lifting Slings/Spreader,Crosby Chain & Accessories,Crosby,https://www.thecrosbygroup.com/catalog/chain-and-accessories/,600,Bundle of slings + spreader; confirm WLL,2025-08-31
Hand Tools Set,Wiha Insulated Tools,Wiha,https://www.wihatools.com/collections/insulated-tools,600,Set size varies; select per need,2025-08-31
