Category,BOM Item,Quantity,Notes
Materials,CTP6 MV Junction Box A (STS05),1 Each,"SS316/SS304 C5M, IP67/IK10, filtered breather, Cu earth bar with test link; 1000x800x400 mm; gland plate sized for ≈65 mm OD; GA: ga_jb_ctp5_ctp6.html"
Materials,CTP6 MV Junction Box B (STS06),1 Each,"SS316/SS304 C5M, IP67/IK10, filtered breather, Cu earth bar with test link; 1000x800x400 mm; gland plate sized for ≈65 mm OD; GA: ga_jb_ctp5_ctp6.html"
Materials,CTP5 MV Junction Box (STS04),1 Each,"SS316/SS304 C5M, IP67/IK10, filtered breather, Cu earth bar with test link; 1000x800x400 mm; gland plate sized for ≈65 mm OD; GA: ga_jb_ctp5_ctp6.html"
Materials,Cable Drum Assemblies (Steel Reels),3 Each,"MV only; heavy-duty steel reels sized for ≈65 mm OD; site logistics assets; GA: ga_drum_mv.html"
Materials,MV XLPE Cable (11 kV class),1200 M,"IEC 60502-2, 3C or 3x1C, Cu/Al per calc; provisional length for all feeders; verify per-route lengths and slack"
Materials,MV Termination Kits (Indoor/Outdoor),12 Set,"IEC 60502-2 stress control; include lugs/boots; 12/20 kV; heat/cold shrink as finalized"
Materials,Double-Compression Cable Glands (≈65 mm OD),18 Each,"IP67; brass/Ni-plated SS; thread size per vendor (e.g., M75/M80); armor continuity where applicable"
Materials,Armor/Braid Bonding Kits,6 Each,"If required by selected MV cable type"
Materials,Cable Lugs (tinned Cu),36 Each,"Size per conductor; crimp type per vendor dielist"
Materials,Cu Earth Conductor (25–35 mm²),60 M,"Bond JBs to earth grid; include slack"
Materials,Cu Earth Bar with Test Link,3 Each,"Included in JB; spare allowed"
Materials,Filtered Breathers,6 Each,"Two per JB"
Materials,Neoprene Gaskets/Seals,3 Set,"Door and gland plate replacement/spares"
Materials,Blanking Plugs,24 Each,"IP-rated for unused entries"
Materials,Surge Protection (MV pit),3 Each,"MOV/surge diverter suitable for 11 kV (if required by design)"
Materials,Fasteners & Fixings (A4-80 SS),6 Set,"Bolts, washers, isolating washers; mounting + spares"
Materials,Mounting Backplates/Frames (SS316),3 Each,"For JB mounting"
Materials,Cable Support Saddles,12 Each,"Strain relief within 150 mm of entry"
Materials,Cable Route Markers,30 Each,"UV-stable route tags/plates at pit entries and intervals"
Materials,Labels & Plates,3 Set,"UV-stable engraved phenolic labels (JB IDs, feeder IDs)"
Materials,Phase ID Sleeves,6 Set,"Heat-shrink phase markers (L1/L2/L3/PE)"
Materials,Desiccant Packs,12 Each,"Moisture control packs for enclosures"
Materials,Sealants/Compounds,6 Cartridge,"IP-rated sealing compound for entries"
Materials,Cable Lubricant,6 Bottle,"Approved pulling lubricant"
Materials,Mechanical Protection at Pit Exits,6 Set,"Grommets/bushings/rub blocks"
Materials,Portable Earths (rated),2 Set,"Isolation safety during works"
Materials,Padlocks & LOTO Hasps,2 Set,"For LOTO kits"
Materials,Warning Signage,3 Set,"Electrical hazard and identification"
Tools,Hydraulic Crimper + Die Set,1 Each,"12–400 mm² range; calibrated; with dielist"
Tools,Heat Gun/Heat Blower,2 Each,"Industrial grade with temperature control"
Tools,Torque Wrench Set,2 Set,"5–200 Nm with calibration; per torque log"
Tools,Capstan Winch,1 Each,"Controlled speed for cable pulls"
Tools,Inline Dynamometer,1 Each,"0–5 kN tension measurement; record pulling tension"
Tools,Spindle Stands/Drum Jacks,2 Pair,"Rated for drum mass; with brake; two drums concurrently"
Tools,Cable Rollers & Corner Blocks (MV duty),2 Set,"Pulling route control"
Tools,Megger (5 kV IR Tester),1 Each,"Insulation resistance testing"
Tools,VLF Test Set (0.1 Hz, 12/20 kV class),1 Each,"Withstand testing @ 2×U0"
Tools,Earth Tester,1 Each,"Clamp or 3-point method instrument"
Tools,Secondary Injection Test Set,1 Each,"Protection relay testing"
Tools,Thermal Camera (≥320x240),1 Each,"Post-energization thermal scan"
Tools,Confined Space Gas Detector (4-gas),1 Each,"For pit entry safety"
Tools,LOTO Kit,2 Set,"Hasps, tags, locks, testers"
Tools,Lifting Slings/Spreader,2 Set,"Rated slings and spreader bar"
Tools,Hand Tools Set (insulated),2 Set,"Cutters, strippers, spanners"
