Category,BOM Item,Quantity,Notes
Materials,OS2 Single‑Mode Outdoor Cable (on OEM wooden drums),1200 M,"Provisional length for two star legs (CTP5→Rack, CTP6→Rack); confirm per-route centerline + slack; LC/UPC terminations at rack"
Materials,IP68 Fiber Closures,3 Each,"≥24F capacity; trays included; gel/gasket seal; one per crane location (STS04@CTP5, STS05@CTP6, STS06@CTP6)"
Materials,Splice Trays (12F),12 Each,"4 trays per closure × 3 closures; compatible with selected closure"
Materials,Splice Protectors (40/45 mm),60 Each,"Allow 2× per fiber incl. spares (24F × 2 + spares)"
Materials,Rack FO Patch Panel #1 (24‑port LC),1 Each,"Cargo Building rack — FO Panel #1 (STS05)"
Materials,Rack FO Patch Panel #2 (24‑port LC),1 Each,"Cargo Building rack — FO Panel #2 (STS06)"
Materials,LC/UPC Duplex Adapters,24 Each,"Blue LC duplex bulkhead adapters; 12 duplex across 2 panels"
Materials,LC/UPC Pigtails (12‑pack),2 Pack,"900 µm OS2; 12‑color sets; fusion splice to backbone (one per panel)"
Materials,LC/UPC Patch Cords (2 m),24 Each,"Rack patching Panel ↔ Switch/Tester; length to suit layout"
Materials,Splice Cassette/Management,4 Each,"Panel splice cassettes for neat pigtail management"
Materials,FO Cable Glands/Seals,10 Each,"IP‑rated glands sized to cable OD for rack/closure entries"
Materials,Labels & Plates (TIA‑606),2 Set,"Panels, closures, trays, fibers, route markers"
Materials,Cable Route Markers,20 Each,"UV‑stable tags/plates at pit entries and intervals"
Materials,Desiccant/Seal Kits,3 Set,"Closure desiccant and reseal kits (1 per closure + spares)"
Materials,Cleaning & Prep Kit,2 Set,"One‑click cleaners, lint‑free wipes, IPA, dust caps"
Materials,Pulling Socks/Tapes,4 Set,"Fiber‑rated pulling grips and detectable pull tape; limit tension per OEM"
Materials,Slack Management Hardware,3 Set,"Splice sleeve holders, slack reels, Velcro ties (per closure)"
Materials,SM SFP Transceivers (1G LX or 10G LR),4 Each,"2 per leg; confirm 1G vs 10G and switch OEM compatibility"
Materials,Rack Cable Management Panels (1U),2 Each,"Horizontal cable managers with fingers between panels/switch"
Materials,OTDR Launch/Receive Fibers (≥500 m),2 Each,"OS2 launch and tail for accurate OTDR (dead‑zone mitigation)"
Tools,Fiber Drum Stand with Brake,2 Each,"For FO OEM wooden drums (FO only; not MV steel reels)"
Tools,Cable Rollers/Corner Guides (FO),2 Set,"Light‑duty FO rollers/corner guides for bend radius control"
Tools,Fusion Splicer (with Cleaver),1 Each,"Core‑alignment splicer with high‑precision cleaver for pigtail/closure splicing"
Tools,Optical Test Kit (OPM + Light Source),1 Set,"1310/1550 nm insertion loss testing with reference leads"
Tools,OTDR (1310/1550 nm),1 Each,"Backbone qualification; include event/IL analysis"
Tools,Fiber Inspection Scope,1 Each,"Endface inspection/cleanliness verification"
Tools,Visual Fault Locator (VFL),1 Each,"Continuity/macrobend checks"
Tools,Patch Panel Tooling,1 Set,"Crimpers (if required), torque tools, dust caps set"
Tools,Fiber Tool Kit,1 Set,"Strippers (primary/coating), Kevlar shears, jacket stripper"
